,plate,make,color,year,total violations,brooklyn,bronx,queens,staten island,manhattan,unknown
0,GAB8673,MAZDA,WH,2012,6,3,0,2,0,1,0
1,GAU8673,NISSA,BLACK,2011,5,1,0,0,0,4,0
2,GBC8673,HONDA,GY,2010,3,0,0,0,0,3,0
3,GBD8673,VOLKS,GY,2010,11,0,0,11,0,0,0
4,GBF8673,PORSC,GY,2013,3,0,0,1,0,2,0
5,GBG8673,CHEVR,WH,2005,3,1,0,0,0,2,0
6,GBK8673,INFIN,WH,2012,1,0,0,0,0,1,0
7,GBL8673,TOYOT,BK,2016,1,0,1,0,0,0,0
8,GBN8673,FORD,WH,2010,24,3,0,12,0,9,0
9,GBT8673,NISSA,GY,2012,1,0,0,1,0,0,0
10,GBX8673,FORD,RD,2005,5,0,3,2,0,0,0
11,GCG8673,JEEP,GY,2006,1,0,0,0,0,1,0
12,GCH8673,ME/BE,BK,2008.0,6,1,0,1,0,4,0
13,GCK8673,NISSA,GY,2013,2,0,0,2,0,0,0
14,GCL8673,ME/BE,WH,2011,3,0,0,3,0,0,0
15,GCN8673,NISSA,GY,2013,3,0,1,0,0,2,0
16,GDD8673,,,,1,0,0,0,0,1,0
17,GDF8673,NISSA,BK,2013,8,2,0,6,0,0,0
18,GDM8673,HONDA,GY,2013,2,1,1,0,0,0,0
19,GDN8673,BMW,BL,1999,2,0,0,2,0,0,0
20,GDP8673,FORD,GY,2013,2,0,0,2,0,0,0
21,GDS8673,DODGE,GR,1999,5,1,0,4,0,0,0
22,GDV8673,NISSA,BR,2013,1,1,0,0,0,0,0
23,GDX8673,,,,3,0,0,3,0,0,0
24,GED8673,CHEVR,TN,2001,2,0,0,1,0,1,0
25,GEF8673,JEEP,GR,2004,1,1,0,0,0,0,0
26,GEH8673,NISSA,GY,2010,5,5,0,0,0,0,0
27,GEJ8673,LINCO,BK,2011,6,5,0,1,0,0,0
28,GEK8673,CHEVR,BLACK,2013,1,1,0,0,0,0,0
29,GEN8673,CHRYS,GREY,2004,3,3,0,0,0,0,0
30,GEW8673,BMW,BL,2002,9,0,0,0,0,9,0
31,GFK8673,MAZDA,BK,2014,7,0,0,7,0,0,0
32,GFM8673,NISSA,WH,2013,1,0,0,1,0,0,0
33,GFN8673,HYUND,BK,2009,3,0,0,2,0,1,0
